discipline,coverage_status,missing_branches,newly_discovered_branches
"Agricultural, Veterinary and Food Sciences",partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",Agricultural biotechnology; fisheries; food sciences; forestry; horticulture; veterinary sciences
Biological Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Biomedical and Clinical Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Built Environment and Design,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",Architecture; building; design; urban and regional planning
Chemical Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
"Commerce, Management, Tourism and Services",partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",Accounting; banking and finance; marketing; tourism; services; organizational studies
Creative Arts and Writing,shallow,"Native artistic-practice taxonomies, genres, methods, media, instruments, and historical terminology",Creative practice; film; music; performance; visual arts; writing
Earth Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Economics,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Education,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",Curriculum; pedagogy; education systems; specialist education studies
Engineering,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Environmental Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Health Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
"History, Heritage and Archaeology",shallow,"Period- and place-dependent terminology, archaeological methods, heritage standards, and controlled vocabularies",Archaeology; heritage; historical studies; curatorial and museum studies
Human Society,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Indigenous Studies,shallow,Nation- and community-specific terminology and governance-sensitive vocabularies; avoid universalizing regional categories,Aboriginal and Torres Strait Islander; Māori; Pacific Peoples; global Indigenous studies
Information and Computing Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
"Language, Communication and Culture",partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Law and Legal Studies,shallow,"Jurisdiction-specific vocabularies, legal doctrines, historical terminology, case-law indexing, and citation language",Commercial; environmental; international; public; private; and socio-legal research
Mathematical Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Philosophy and Religious Studies,shallow,"Deeper philosophy taxonomies, traditions, named arguments, schools, theological vocabularies, and historical terminology",Applied ethics; history and philosophy; philosophy; religious studies; theology
Physical Sciences,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Psychology,partial,"Full native taxonomy ingestion; historical and deprecated terminology; named models, methods, instruments, observables, acronyms, and version metadata",ANZSRC group and field branches instantiated as breadth-first retrieval anchors
Cross-domain mechanisms,partial,"Exhaustive field-conditioned senses, synonyms, disambiguators, exclusions, and historical variants","Ambiguity controls for state, field, phase, critical, attention, learning, representation, transport, and related polysemes"
Independent mathematics,partial,"Full MSC2020 ingestion, including lower-level classes, retired classes, named theorems, proof methods, operators, and equations","Independent object, structure, operator, stochastic-process, numerical-method, and proof-method layer"
Computation/discovery,partial,Full ACM/IEEE/formal-reasoning/program-synthesis terminology; automated experimentation and causal-discovery vocabularies,Algorithm discovery; program synthesis; automated reasoning; theorem proving; symbolic regression; equation discovery
Quantum,partial,"Complete standards and physics terminology; hardware vocabularies; code families; control, compilation, communication, sensing, and many-body terminology","Independent quantum science, computation, communication, sensing, control, hardware, and quantum-biology overlays"
Science of science,shallow,"Indicators, bibliometric methods, research-policy vocabulary, scholarly communication, peer review, and innovation studies",Scientometrics; bibliometrics; research evaluation; scholarly communication
Native disciplinary vocabularies,partial,"Bulk ingestion of preferred and non-preferred labels, identifiers, provenance, source versions, deprecation status, multilingual terms, and polyhierarchical relations","GO, MeSH, PhySH, MSC, AGROVOC, GCMD, NVS, UAT, ELSST, JEL, ERIC, and other source-family continuation points"
