concept_id,name,type,discipline,related_concepts
C000501,Gaussian distribution,model,probability and statistics,normal distribution; mean; variance
C000502,Poisson distribution,model,probability and statistics,count data; Poisson process
C000503,Bayesian network,model,statistics / artificial intelligence,probabilistic graphical model; conditional independence
C000504,Markov model,model,probability / stochastic processes,Markov property; transition matrix
C000505,hidden Markov model,model,statistics / signal processing,latent state; sequence model
C000506,Bayesian filtering,method,statistics / control,state estimation; recursive inference
C000507,particle filter,method,statistics / control,sequential Monte Carlo; nonlinear filtering
C000508,extended Kalman filter,method,control / signal processing,nonlinear state estimation; linearization
C000509,unscented Kalman filter,method,control / signal processing,sigma points; nonlinear state estimation
C000510,numerical PDE method,method,numerical mathematics,partial differential equations; discretization
C000511,finite element method,method,numerical mathematics / engineering,weak formulation; mesh; discretization
C000512,finite volume method,method,numerical mathematics / fluid dynamics,control volume; conservation law
C000513,numerical integration,method,numerical mathematics,quadrature; time integration
C000514,Runge–Kutta method,method,numerical mathematics,ordinary differential equations; time stepping
C000515,Fourier transform,transformation,mathematics / signal processing,frequency domain; spectral analysis
C000516,fast Fourier transform,algorithm,numerical mathematics / signal processing,discrete Fourier transform; FFT
C000517,Laplace transform,transformation,mathematics / systems theory,complex frequency; differential equations
C000518,wavelet transform,transformation,mathematics / signal processing,multiresolution analysis; time-frequency localization
C000519,Navier–Stokes equations,equation,mathematics / fluid dynamics,fluid dynamics; transport; nonlinearity
C000520,variational principle,framework,mathematics / physics,functional; stationary action; optimization
C000521,Euler–Lagrange equation,equation,calculus of variations / mechanics,variational principle; functional derivative
C000522,diffusion equation,equation,mathematics / transport physics,diffusion; parabolic PDE; transport
C000523,heat equation,equation,mathematics / thermal physics,thermal diffusion; parabolic PDE
C000524,wave equation,equation,mathematics / wave physics,propagation; hyperbolic PDE
C000525,hyperbolic partial differential equation,mathematical_structure,mathematics,wave propagation; characteristics
C000526,conservation laws,framework,mathematics / physics,mass; momentum; energy; flux
C000527,Maxwell's equations,equation,electromagnetism,electric field; magnetic field; electromagnetic waves
C000528,electromagnetism,theory,physics,electricity; magnetism; electromagnetic field
C000529,Einstein field equations,equation,general relativity,spacetime curvature; stress-energy tensor
C000530,general relativity,theory,physics / gravitation,spacetime; gravitation; curvature
C000531,Boltzmann equation,equation,kinetic theory / statistical physics,distribution function; collisions; transport
C000532,kinetic theory,framework,statistical physics,particle distributions; transport; nonequilibrium
C000533,algorithm discovery,method,scientific discovery / computer science,search; algorithm synthesis; automated discovery
C000534,genetic algorithm,algorithm,evolutionary computation,selection; crossover; mutation
C000535,automated reasoning,method,artificial intelligence / formal methods,logic; inference; proof search
C000536,automated theorem proving,method,formal reasoning,proof search; logic; theorem proving
C000537,program synthesis,method,computer science / automated programming,specification; program search; synthesis
